,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP41_129_X7Y8_1460,0.16315714139111645,0.12273447114918226,0.20206349262014636,0.21769456436123152,0.11182283219184713,0.05344113199587224,0.129086366290604
BaselTMA_SP41_11_X13Y7_4434,0.023535801432876056,0.07229724162112926,0.10086300199279073,0.07468048857638865,0.34794210534758974,0.3197594879141414,0.06092187311508397
BaselTMA_SP41_203_X8Y8_1690,0.21038287375599354,0.16522014751747216,0.1625143995338612,0.2453196959745991,0.06746117957332065,0.06405642608944892,0.08504527755530453
BaselTMA_SP41_191_X15Y7_3242,0.08775632199915559,0.10279633954455411,0.2833969600489646,0.17970647304812976,0.12681250973857208,0.0949045246077901,0.12462687101283378
BaselTMA_SP41_106_X2Y9_1894,0.0015270755536649315,0.01436013502847889,0.005385391229117005,0.0012090936031999044,0.510424143209136,0.4619493911448228,0.0051447702315806304
BaselTMA_SP41_112_X5Y8_1944,0.09062635997395312,0.12060954975447352,0.18600400092894376,0.10686592919452853,0.16940916479095056,0.23985467449610143,0.08663032086104902
BaselTMA_SP41_11_X13Y7_2486,0.02385983583290997,0.06145144474324335,0.07367656021899267,0.04771871053232135,0.23592186297037424,0.5088460079715157,0.048525577730642755
BaselTMA_SP41_100_X15Y5_2376,0.12479196989155528,0.11925651906966112,0.2466130756865461,0.36922683227674025,0.014378639130542279,0.014138677905421605,0.11159428603953346
BaselTMA_SP41_134_X3Y8_1484,0.19251406968945778,0.1573151530205333,0.20097780487626551,0.3247094469189595,0.014848715274004777,0.024067930880387948,0.08556687934039116
BaselTMA_SP41_14_X1Y8_978,0.20434177570880335,0.1414456748222625,0.19219925711555924,0.3067482729162234,0.024141052973895717,0.023955391638983352,0.10716857482427246
BaselTMA_SP41_203_X8Y8_2532,0.2094472137207373,0.18088462085308393,0.17371298238928684,0.231738426172792,0.058879569783500584,0.061708005028288236,0.08362918205231107
BaselTMA_SP41_186_X5Y4_1448,0.11112264858955886,0.1261677758042,0.5068280810425999,0.12243687221894796,0.006923516556274392,0.012197687321673877,0.11432341846674504
