,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP43_115_X4Y8_34,0.0026729714030805742,0.19160411350289946,0.0006728148192552239,0.2034273068412948,0.2774523455381623,1.3641756801688427e-07,0.32417031147773967
BaselTMA_SP43_115_X4Y8_35,0.7413857974343825,0.055540229100634476,1.400878756031525e-07,0.033246375325662936,3.562832884184471e-05,7.714130007505125e-10,0.16979182895118952
BaselTMA_SP43_115_X4Y8_36,6.157153655976964e-08,5.246608790032974e-06,4.1900842788250146e-10,8.330149956612994e-07,0.9994895754404576,0.0005009820290253673,3.3009161863627208e-06
BaselTMA_SP43_115_X4Y8_37,8.399812901487439e-08,1.3660083393548934e-05,1.3357670390939004e-09,2.0212050384591144e-06,0.9998736294267627,9.458290721046308e-05,1.6021043698695725e-05
BaselTMA_SP43_115_X4Y8_38,6.3268153717094e-11,2.910271069677649e-10,9.357359800819041e-12,3.048653018166701e-11,0.00038422883054358494,0.999615770716891,5.842633749021566e-11
BaselTMA_SP43_115_X4Y8_39,0.25398287643205025,0.19675432890069308,1.1182057923730137e-05,0.20093091453218878,0.0022675448241885787,5.717673041382682e-08,0.34605309607622503
BaselTMA_SP43_115_X4Y8_40,1.833848086669991e-07,0.00028254001906193385,2.723557234327798e-10,6.87532730374113e-05,0.9991798482848484,1.1275099085975549e-07,0.0004685620148968108
BaselTMA_SP43_115_X4Y8_41,5.767831127105221e-11,9.57486489453051e-07,0.9999948978577827,1.4801422347693873e-06,2.488429685894353e-06,8.459115467650827e-17,1.760261287233692e-07
BaselTMA_SP43_115_X4Y8_42,6.927389503361138e-05,0.23813940662798208,4.624061051140789e-07,0.23908886336023963,0.018085534521340044,5.980048353013891e-11,0.504616459129499
BaselTMA_SP43_115_X4Y8_43,0.00011014564083250877,0.17308926143558775,3.6702700492386345e-07,0.1339927469750452,0.05433117997318886,9.134191980556952e-08,0.6384762076064209
BaselTMA_SP43_115_X4Y8_44,3.99234662015794e-05,0.169150753000965,6.666487502685628e-07,0.15255420325001556,0.007320096171142533,2.1464717315311473e-09,0.6709343553164533
